property_type,place_with_parent_names,lat-lon,area_m2,price_usd
house,|México|Nuevo León|Guadalupe|,"25.652299,-100.266174",281.0,152790.8
house,|México|Morelos|Cuernavaca|,,210.0,173906.62
house,|México|San Luis Potosí|Cerro de San Pedro|,,350.0,137017.34
apartment,|México|Distrito Federal|Venustiano Carranza|,"19.452665,-99.121497",75.0,34421.81
house,|México|Puebla|San Pedro Cholula|,,213.0,152263.93
apartment,|México|Guerrero|Acapulco de Juárez|,"16.869995,-99.869568",72.0,48471.56
house,|México|Chiapas|Tuxtla Gutiérrez|,"16.768602,-93.164162",185.0,82717.77
house,|México|Hidalgo|Mineral del Monte|,"23.634501,-102.552788",120.0,63223.78
house,|México|Estado de México|Toluca|,"19.317622,-99.607241",200.0,158059.45
house,|México|Guerrero|,"16.850374,-99.850166",168.0,115937.75
apartment,|México|Yucatán|Mérida|,"21.0306572,-89.5945502",144.0,79048.46
house,|México|Distrito Federal|Benito Juárez|,"19.359798,-99.161675",90.0,131716.2
house,|México|Distrito Federal|Coyoacán|Campestre Churubusco|,"19.3434226,-99.1359301",182.0,68492.42
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,,255.0,147522.15
apartment,|México|Distrito Federal|Cuauhtémoc|,"19.4503249,-99.1351802",91.0,79029.72
house,|México|Tamaulipas|Altamira|,"22.3918646281,-97.9089224339",76.0,35826.8
apartment,|México|Distrito Federal|Coyoacán|,"19.307417,-99.125191",75.0,36882.11
house,|México|Durango|Durango|,"24.0277202,-104.6531759",245.0,92201.34
apartment,|México|Estado de México|Huixquilucan|,"19.374843,-99.293871",120.0,59711.33
apartment,|México|San Luis Potosí|San Luis Potosí|,"22.1352302,-101.0266343",140.0,73234.21
house,|México|Veracruz de Ignacio de la Llave|Playa Vicente|Coahuila|,"25.577366,-103.437088",348.0,155425.12
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.517859,-96.891403",300.0,142253.5
house,|México|Querétaro|Querétaro|,"20.605692,-100.38488",290.0,208111.61
apartment,|México|Quintana Roo|Solidaridad|Playa del Carmen|,,80.0,43740.15
house,|México|San Luis Potosí|San Luis Potosí|,"22.158050728,-100.9284004569",180.0,50064.02
house,|México|Morelos|Temixco|Brisas|,"18.847519,-99.220529",162.0,89567.02
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.119549,-96.107643",190.0,94331.17
house,|México|Distrito Federal|Tlalpan|Jardines en la Montaña|,"19.301835,-99.206377",300.0,207057.88
house,|México|Chiapas|Tuxtla Gutiérrez|,"16.756552,-93.181732",215.0,163366.83
house,|México|Morelos|Cuautla|,"18.813505,-98.953514",80.0,34246.21
house,|México|Campeche|Campeche|,"19.8301251,-90.5349087",160.0,115937.75
house,|México|Querétaro|Querétaro|,"20.592563,-100.371039",271.0,179134.04
house,|México|Hidalgo|Tula de Allende|,"20.044181,-99.34648",169.0,84054.87
house,|México|Nuevo León|Monterrey|,,320.0,197621.16
apartment,|México|Distrito Federal|Benito Juárez|,"19.396893,-99.152302",80.0,85899.33
house,|México|Yucatán|Telchac Puerto|Telchac Puerto|,,160.0,168596.74
house,|México|Jalisco|San Pedro Tlaquepaque|,"20.615292,-103.312843",230.0,131716.2
house,|México|Guanajuato|León|,"21.202881,-101.679077",167.0,68492.42
house,|México|Yucatán|Mérida|,"21.0315095,-89.600513",349.0,200256.11
house,|México|Distrito Federal|Álvaro Obregón|Olivar de los Padres|,"19.33981,-99.216052",272.0,260798.09
house,|México|Nuevo León|Monterrey|,"25.6773984,-100.3940095",347.0,292796.2
house,|México|Yucatán|Mérida|,"21.0344135,-89.5978127",305.0,194986.21
house,|México|Morelos|Cuernavaca|,"18.936026,-99.216217",270.0,255590.04
house,|México|Chiapas|Jiquipilas|Michoacán|,,72.0,40578.21
house,|México|Baja California|Mexicali|,,106.0,67333.32
house,|México|Querétaro|El Marqués|,"20.607178,-100.335754",75.0,35563.37
house,|México|Guerrero|Acapulco de Juárez|,,80.0,118544.58
house,|México|Estado de México|Naucalpan de Juárez|,"19.470298,-99.272488",218.0,255529.44
house,|México|Estado de México|Tlalnepantla de Baz|Tlalnepantla de Baz|,"19.522923,-99.241837",340.0,250260.79
house,|México|Querétaro|Querétaro|,"20.570164,-100.363823",170.0,123842.59
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"18.1477847816,-94.4396674633",240.0,115937.75
house,|México|Distrito Federal|Iztacalco|,"19.399741,-99.115503",100.0,57287.8
house,|México|Distrito Federal|Xochimilco|,"19.282308,-99.126869",130.0,119651.0
apartment,|México|Estado de México|Coacalco de Berriozábal|Coacalco de Berriozabal|,"19.634604,-99.088905",76.0,34245.11
house,|México|Sinaloa|Mazatlán|,,122.0,86932.69
house,|México|Morelos|Cuernavaca|,"18.904448,-99.242474",106.0,105372.96
house,|México|Distrito Federal|Cuauhtémoc|,"19.456544,-99.127136",278.0,183875.82
house,|México|Querétaro|Querétaro|,"20.726007,-100.442642",285.0,231875.5
house,|México|Querétaro|Corregidora|,"20.548123,-100.436245",300.0,200208.63
apartment,|México|Distrito Federal|Benito Juárez|,"19.396705,-99.181902",85.0,76740.25
house,|México|Querétaro|Querétaro|,"20.6543981,-100.3546346",137.0,83264.38
house,|México|Chiapas|Tuxtla Gutiérrez|,"16.766762,-93.148401",160.0,154371.39
house,|México|Morelos|Cuernavaca|,"18.954132,-99.266083",94.0,55333.92
house,|México|Nuevo León|Monterrey|Mitras Centro|,"25.696475,-100.345717",220.0,165962.42
apartment,|México|Distrito Federal|Tlalpan|Valle de Tepepan|,"19.270165,-99.152404",80.0,131400.09
house,|México|Guerrero|,"23.634501,-102.552788",100.0,50052.15
apartment,|México|Distrito Federal|Benito Juárez|,"19.39912,-99.141464",92.0,142253.5
house,|México|Estado de México|Toluca|Metepec|San Miguel Totocuitlapilco|,"19.229864,-99.597954",270.0,231820.52
apartment,|México|Distrito Federal|Benito Juárez|,"19.376589,-99.153107",107.0,215482.45
house,|México|Yucatán|Mérida|Temozon Norte|,"21.072905,-89.65963",280.0,110351.66
house,|México|Querétaro|El Marqués|,,198.0,118572.7
house,|México|Veracruz de Ignacio de la Llave|Playa Vicente|Coahuila|,,280.0,41105.2
house,|México|Puebla|San Andrés Cholula|,"19.044477,-98.328011",350.0,226551.88
apartment,|México|Estado de México|Cuautitlán Izcalli|,"19.6494549,-99.2023662",69.0,38461.13
apartment,|México|Estado de México|Atizapán de Zaragoza|,"19.60537,-99.233148",60.0,39146.05
house,|México|Tabasco|Centro|,"17.999552,-92.950018",151.0,115910.26
house,|México|Puebla|Juan C. Bonilla|,"19.1090862,-98.3289824",160.0,84318.36
house,|México|Morelos|Cuernavaca|,"18.910368,-99.1996",200.0,129081.88
house,|México|Jalisco|,"20.775549,-103.691269",300.0,134350.53
house,|México|Nuevo León|Apodaca|,"25.7671943,-100.2575589",150.0,35308.31
house,|México|Baja California Sur|La Paz|,"24.168865,-110.306996",330.0,290434.24
house,|México|Baja California|Tijuana|Tijuana|Fideicomiso el Florido|,"32.457415,-116.88252",102.0,61643.18
house,|México|Sinaloa|Mazatlán|,,108.0,96932.59
house,|México|Veracruz de Ignacio de la Llave|Playa Vicente|Coahuila|,,236.0,110114.75
house,|México|Querétaro|Querétaro|,"20.726007,-100.442642",200.0,121705.77
apartment,|México|Oaxaca|Oaxaca de Juárez|,"17.0588513685,-96.749432981",94.0,51118.0
house,|México|Estado de México|Atizapán de Zaragoza|,"19.550762,-99.242156",160.0,111194.84
house,|México|Yucatán|Mérida|Cholul|,"21.0412206815,-89.5549756587",174.0,82842.79
house,|México|Puebla|Atlixco|,,106.0,66384.96
apartment,|México|Distrito Federal|Iztapalapa|El Retoño|,"19.373161,-99.130394",69.0,84298.37
house,|México|Morelos|Yautepec|,"18.917542,-98.963181",210.0,118572.7
apartment,|México|Nuevo León|San Pedro Garza García|San Pedro Garza García|Los Arcángeles|,"25.657194,-100.340521",110.0,262378.68
house,|México|San Luis Potosí|San Luis Potosí|,,215.0,113302.8
house,|México|Morelos|Cuernavaca|,"18.94542,-99.223195",380.0,289775.66
house,|México|Querétaro|El Marqués|,"20.6113606,-100.3288581",132.0,86953.31
house,|México|Chiapas|Tuxtla Gutiérrez|,"16.773806,-93.096295",165.0,71126.75
house,|México|Distrito Federal|Gustavo A. Madero|,"19.493973,-99.130394",300.0,179239.41
apartment,|México|Quintana Roo|Solidaridad|Playa del Carmen|,"20.626583,-87.078659",145.0,115437.11
apartment,|México|Nuevo León|San Pedro Garza García|,"25.651072,-100.342773",126.0,175924.99
house,|México|Distrito Federal|Álvaro Obregón|Lomas de Tarango|,"19.362795,-99.218987",80.0,46715.31
house,|México|Querétaro|Querétaro|,"20.631845,-100.390495",180.0,118572.7
house,|México|Nuevo León|García|,"25.637247,-100.382774",194.0,76395.4
house,|México|Quintana Roo|Benito Juárez|Cancún|Región 500|,"21.138567,-86.842937",185.0,97469.99
house,|México|Guerrero|Acapulco de Juárez|,"16.874741,-99.889244",300.0,98787.15
apartment,|México|Distrito Federal|Benito Juárez|,"19.395097,-99.150424",80.0,53158.18
apartment,|México|Distrito Federal|Azcapotzalco|Industrial San Antonio|,"19.478815,-99.196831",64.0,76395.4
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.554081,-96.911522",95.0,38461.13
house,|México|Puebla|Puebla|,,290.0,316118.9
house,|México|Tamaulipas|Tampico|,"22.276130897,-97.8784418106",232.0,139652.29
house,|México|Morelos|Cuernavaca|,"18.9611008,-99.2684274",192.0,173906.62
apartment,|México|Distrito Federal|Gustavo A. Madero|,"19.51918,-99.143403",60.0,34983.82
apartment,|México|Yucatán|Mérida|,"21.03071,-89.618103",131.0,77467.49
house,|México|Chiapas|Jiquipilas|Michoacán|,"19.671921,-101.197362",240.0,97469.99
house,|México|Estado de México|Naucalpan de Juárez|,"19.514929,-99.2542064",356.0,288721.93
house,|México|Estado de México|Toluca|,"19.295469,-99.692619",150.0,57968.87
house,|México|Estado de México|Naucalpan de Juárez|,"19.488134,-99.230759",110.0,138934.25
apartment,|México|Distrito Federal|Coyoacán|,"19.326108,-99.122758",70.0,49273.54
house,|México|Sonora|Hermosillo|,"29.105133,-110.943916",357.0,210745.93
house,|México|Morelos|Temixco|,,213.0,168596.74
house,|México|Chiapas|Jiquipilas|Michoacán|,"19.711031,-101.245743",256.0,60603.82
house,|México|Nuevo León|Monterrey|Colinas del Huajuco|,"25.5883667,-100.2430415",300.0,162393.9
house,|México|Baja California Sur|La Paz|,"24.155968,-110.315987",204.0,135963.36
house,|México|Distrito Federal|Azcapotzalco|,"19.483263,-99.186297",190.0,102369.83
house,|México|Estado de México|Huixquilucan|Huixquilucan de Degollado|Lomas Anáhuac|,"19.404718,-99.263313",139.0,252895.12
house,|México|Baja California|Mexicali|,,106.0,69124.66
house,|México|Chihuahua|Chihuahua|,"28.678531,-106.040439",115.0,46890.97
house,|México|Yucatán|Mérida|,"21.0064261,-89.6850751",90.0,60603.82
apartment,|México|Distrito Federal|Benito Juárez|,"23.634501,-102.552788",85.0,94835.67
house,|México|Estado de México|Ecatepec de Morelos|Ecatepec de Morelos|,"19.580685,-99.047432",70.0,34254.33
house,|México|Estado de México|Toluca|,,230.0,142253.5
house,|México|Querétaro|Querétaro|,"20.571299,-100.383032",90.0,37353.34
house,|México|Yucatán|Mérida|,"20.9904342,-89.6004394",200.0,79029.72
house,|México|Morelos|Cuernavaca|,"18.953518,-99.272508",300.0,147522.15
house,|México|Nuevo León|Monterrey|,"25.686357,-100.376106",380.0,200256.11
house,|México|Distrito Federal|Iztapalapa|,,90.0,81664.04
house,|México|Baja California|Tijuana|Tijuana|Herradura Sur|,"32.494759,-117.016926",92.0,51632.75
house,|México|Jalisco|Zapopan|,"20.7540020174,-103.3824715018",290.0,152790.8
house,|México|Estado de México|Ecatepec de Morelos|Ecatepec de Morelos|,"19.562864,-99.064713",90.0,52686.48
house,|México|Querétaro|Tequisquiapan|,"20.5285264774,-99.88301754",136.0,79048.46
house,|México|Querétaro|Querétaro|,,250.0,160693.77
apartment,|México|San Luis Potosí|San Luis Potosí|,"22.133745,-101.016029",174.0,143868.21
apartment,|México|Distrito Federal|Tlalpan|Granjas Coapa|,"19.299864,-99.111133",65.0,135225.12
house,|México|Guanajuato|San Miguel de Allende|,,215.0,212589.96
house,|México|Estado de México|Nezahualcóyotl|,"19.493069,-99.060346",343.0,191620.74
house,|México|Querétaro|Tequisquiapan|,,150.0,63223.78
house,|México|Querétaro|Querétaro|,"20.6536084,-100.3469826",176.0,110140.86
apartment,|México|Distrito Federal|Benito Juárez|,"19.384724,-99.145619",145.0,123813.23
house,|México|Jalisco|Tequila|Tequila|Tequila Centro|,"20.883594,-103.839896",100.0,184402.69
house,|México|Nuevo León|Monterrey|,"25.6866142,-100.3161126",90.0,242357.82
house,|México|Morelos|Cuautla|,"18.804197,-98.932816",140.0,51632.75
house,|México|Querétaro|Querétaro|,"20.7047931,-100.4462718",250.0,150192.08
house,|México|Estado de México|Ecatepec de Morelos|Ecatepec de Morelos|,"19.589786878,-99.0521619915",80.0,36889.28
house,|México|Puebla|San Andrés Cholula|,"18.972588,-98.282691",202.0,150894.08
house,|México|Nuevo León|Monterrey|,"25.530777,-100.2071",299.0,194939.99
house,|México|Morelos|Cuernavaca|,,230.0,189716.32
house,|México|Querétaro|Querétaro|,"20.593385,-100.361619",100.0,115910.26
house,|México|Puebla|San Andrés Cholula|,"19.017727,-98.316376",182.0,108559.89
apartment,|México|Distrito Federal|Miguel Hidalgo|,"19.454332,-99.200287",62.0,50591.01
house,|México|Quintana Roo|Benito Juárez|Cancún|,"21.139086,-86.84964",200.0,158096.93
house,|México|Estado de México|Chapultepec|,"19.2030655,-99.5478784",106.0,38724.56
house,|México|Sinaloa|Mazatlán|,"23.290356,-106.426237",150.0,93781.94
house,|México|Colima|Villa de Álvarez|,"19.277207,-103.734973",161.0,52633.79
house,|México|Nuevo León|Monterrey|,"25.7393693814,-100.2269947529",266.0,144700.85
house,|México|Puebla|San Pedro Cholula|,,210.0,150719.07
house,|México|Morelos|Cuernavaca|,"18.901708,-99.237779",250.0,242357.82
house,|México|Puebla|Puebla|,,170.0,68492.42
apartment,|México|Distrito Federal|Iztacalco|,"19.368808,-99.112954",83.0,115910.26
house,|México|Yucatán|Mérida|,"21.0369774162,-89.6034273505",175.0,126214.05
house,|México|Morelos|Atlatlahucan|,"23.634501,-102.552788",270.0,229186.2
apartment,|México|Distrito Federal|Iztapalapa|,"19.38342,-99.086604",88.0,100104.31
house,|México|Morelos|Cuernavaca|,"18.93409,-99.254997",145.0,102738.64
house,|México|Puebla|Puebla|,,220.0,131747.44
house,|México|Distrito Federal|Álvaro Obregón|,"19.380834,-99.200764",350.0,161258.87
house,|México|Puebla|San Andrés Cholula|,,261.0,218648.9
apartment,|México|Chiapas|Tuxtla Gutiérrez|,,102.0,56374.53
house,|México|Morelos|Yautepec|,"18.886955,-99.062244",68.0,43202.91
house,|México|Nuevo León|Monterrey|,"25.679226,-100.344032",210.0,155425.12
apartment,|México|Quintana Roo|Benito Juárez|,,80.0,167807.03
apartment,|México|Distrito Federal|Cuauhtémoc|,"19.413009,-99.17109",127.0,289775.66
apartment,|México|Distrito Federal|Cuauhtémoc|,"19.410215,-99.14595",70.0,44048.85
apartment,|México|Distrito Federal|Benito Juárez|,"19.367424,-99.185753",82.0,154898.26
apartment,|México|Distrito Federal|Benito Juárez|,,142.0,306813.45
house,|México|Sinaloa|Mazatlán|,,143.0,72180.48
house,|México|San Luis Potosí|San Luis Potosí|,"22.0951835008,-100.87474823",172.0,50157.53
house,|México|Querétaro|Querétaro|,,350.0,205477.28
apartment,|México|Distrito Federal|Tlalpan|Granjas Coapa|,"19.298168,-99.113106",83.0,177695.7
apartment,|México|Estado de México|Atizapán de Zaragoza|,"19.5652097,-99.2646998",87.0,84318.36
house,|México|Chiapas|Jiquipilas|Michoacán|,,180.0,36880.53
house,|México|Estado de México|Atizapán de Zaragoza|,"19.5527338,-99.2494583",200.0,92223.21
house,|México|Yucatán|Mérida|Temozon Norte|,"21.0634817,-89.6110378",235.0,146995.28
house,|México|Tamaulipas|Ciudad Madero|,"22.285725,-97.843597",218.0,118572.7
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,,220.0,163366.83
house,|México|Querétaro|Corregidora|,"20.5230129,-100.4302641",184.0,93804.18
apartment,|México|Distrito Federal|Miguel Hidalgo|Anahuac|,"19.440043,-99.176894",79.0,137017.34
house,|México|Veracruz de Ignacio de la Llave|Playa Vicente|Coahuila|,"25.439536,-100.994925",293.0,158059.45
apartment,|México|San Luis Potosí|San Luis Potosí|,"22.144705,-101.04092",144.0,90620.75
house,|México|Yucatán|Mérida|,"20.9959805028,-89.6128177643",374.0,247421.7
house,|México|Tamaulipas|Altamira|,"22.3286560021,-97.8898514392",140.0,73778.56
house,|México|Morelos|Emiliano Zapata|,"18.858107,-99.200287",92.0,64556.24
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.0530826,-96.0588921",200.0,108007.29
house,|México|Morelos|Cuernavaca|,"18.883513,-99.221881",80.0,44783.51
house,|México|Morelos|Cuernavaca|,"18.933414,-99.194748",250.0,292900.92
house,|México|Morelos|Cuernavaca|,"18.935198,-99.232834",180.0,168596.74
house,|México|Nuevo León|San Nicolás de los Garza|,"25.7385463,-100.3184093",254.0,139652.29
house,|México|Guerrero|Acapulco de Juárez|,,107.0,46100.67
apartment,|México|Distrito Federal|Venustiano Carranza|,"19.41275,-99.126007",60.0,35890.24
apartment,|México|Distrito Federal|Benito Juárez|,"19.364891,-99.148384",78.0,150830.86
house,|México|Estado de México|Ocoyoacac|,"19.272732,-99.453377",126.0,68492.42
house,|México|Estado de México|Naucalpan de Juárez|,"19.490576,-99.254997",350.0,210745.93
house,|México|Querétaro|Corregidora|,"20.5535753,-100.4222725",156.0,86953.31
house,|México|Querétaro|Querétaro|,"20.572051,-100.406716",227.0,125920.69
house,|México|Baja California|Tijuana|Tijuana|Fideicomiso el Florido|,"32.457469,-116.882435",102.0,61643.18
house,|México|Distrito Federal|Iztapalapa|Minerva|,"19.353373,-99.1138",160.0,106127.01
house,|México|Morelos|Cuernavaca|,,80.0,47417.83
house,|México|Yucatán|Mérida|Santa Gertrudis Copo|,"21.039522,-89.563911",270.0,164947.8
house,|México|Jalisco|Chapala|,"20.2959587,-103.1944627",204.0,94835.67
house,|México|Querétaro|San Juan del Río|,"20.379178,-99.966431",80.0,34246.21
house,|México|Morelos|Cuautla|,"18.804409,-98.959038",130.0,47417.83
house,|México|Guanajuato|Salamanca|,"20.5958037462,-101.186433658",195.0,94858.16
house,|México|Estado de México|Toluca|,,85.0,39524.23
house,|México|Tamaulipas|Tampico|,"22.272678,-97.883728",350.0,237145.4
house,|México|Morelos|Cuernavaca|,,180.0,102763.0
house,|México|Tamaulipas|Tampico|,"22.309216,-97.89325",109.0,45848.11
house,|México|Morelos|Emiliano Zapata|,"18.808657,-99.203751",67.0,34254.33
house,|México|Jalisco|Zapopan|,"20.712604,-103.391146",361.0,194939.99
house,|México|Nuevo León|San Pedro Garza García|San Pedro Garza García|,"25.6626225,-100.3688142",311.0,240884.28
house,|México|Puebla|San Andrés Cholula|,"19.059084,-98.286095",243.0,101445.53
house,|México|Aguascalientes|Aguascalientes|Aguascalientes|Colinas del Rio|,"21.89658,-102.316322",245.0,78502.86
house,|México|Campeche|Campeche|,"19.8308743,-90.5359003",180.0,76413.51
house,|México|Estado de México|Naucalpan de Juárez|,"19.491798,-99.262423",150.0,168596.74
house,|México|Distrito Federal|Gustavo A. Madero|,"19.508428,-99.125896",150.0,45057.62
house,|México|Chihuahua|Chihuahua|,"28.70466,-106.089596",78.0,51632.75
apartment,|México|Distrito Federal|Miguel Hidalgo|,"19.454332,-99.200287",90.0,53832.41
house,|México|Puebla|Puebla|Puebla (Heroica Puebla)|Zona Cementos Atoyac|,"19.077675,-98.225566",175.0,118544.58
house,|México|Morelos|Yautepec|,"23.634501,-102.552788",160.0,99577.45
house,|México|Puebla|Puebla|,,151.0,99442.97
house,|México|Guanajuato|Guanajuato|,,206.0,134909.38
house,|México|Morelos|Yautepec|Oacalco|,"18.922282,-99.04435",70.0,46469.47
house,|México|Chiapas|Tuxtla Gutiérrez|Tuxtla Gutiérrez|Calvarium|,"16.742777,-93.119011",140.0,73778.56
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"20.945961,-97.389905",200.0,289775.66
house,|México|San Luis Potosí|San Luis Potosí|,"22.193162,-101.005431",80.0,39514.86
apartment,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.119549,-96.107643",93.0,76413.51
house,|México|Estado de México|Naucalpan de Juárez|,"19.4953683665,-99.2584598064",140.0,68508.67
house,|México|Quintana Roo|Benito Juárez|,"21.139641,-86.879738",100.0,36880.53
house,|México|Querétaro|Querétaro|,"20.659601,-100.442467",301.0,274034.68
house,|México|Yucatán|Mérida|,"21.3103259143,-89.248380661",325.0,187081.37
house,|México|Querétaro|Querétaro|,,170.0,110641.61
apartment,|México|Distrito Federal|Benito Juárez|,"19.393257,-99.157113",100.0,71653.61
house,|México|Baja California|Tijuana|,,61.0,38461.13
house,|México|Yucatán|Mérida|Dzitya|,"21.072905,-89.65963",190.0,97493.1
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"20.9475017,-97.3631926",110.0,67860.19
house,|México|Estado de México|Zinacantepec|,,72.0,40568.59
house,|México|Nuevo León|San Nicolás de los Garza|,"25.721457,-100.228301",190.0,88513.29
house,|México|Estado de México|Nezahualcóyotl|,"19.406092,-99.011968",177.0,80083.45
house,|México|San Luis Potosí|San Luis Potosí|,"22.125832,-101.035118",197.0,147557.13
house,|México|Yucatán|Mérida|,"21.023252,-89.614571",320.0,150192.08
house,|México|Estado de México|Toluca|,"19.31673,-99.581169",80.0,47944.7
house,|México|Querétaro|Querétaro|,"20.647322,-100.479441",82.0,36248.3
house,|México|Puebla|Puebla|,,235.0,173865.39
house,|México|Estado de México|Tecámac|Tecamac de Felipe Villanueva|,"19.7100885,-98.9659399",99.0,75783.82
apartment,|México|Distrito Federal|Gustavo A. Madero|Vallejo|,"19.462951,-99.125888",208.0,131716.2
house,|México|Yucatán|Mérida|Dzitya|,"21.072905,-89.65963",290.0,126477.54
house,|México|Tamaulipas|Tampico|,"22.3140373,-97.8800254",178.0,51644.99
house,|México|Jalisco|Tlajomulco de Zúñiga|Tlajomulco de Zúñiga|,"20.547053,-103.47907",340.0,262440.91
house,|México|Tlaxcala|Tlaxcala|,"19.308845,-98.214439",85.0,35826.8
apartment,|México|Chiapas|Tuxtla Gutiérrez|,"16.745515,-93.15228",102.0,46364.1
house,|México|Nayarit|Tepic|,,75.0,63238.77
house,|México|Chiapas|Jiquipilas|Michoacán|,"19.704245,-101.165592",150.0,94835.67
apartment,|México|Estado de México|Cuautitlán Izcalli|,,97.0,89588.26
house,|México|Veracruz de Ignacio de la Llave|Playa Vicente|Coahuila|,"25.525183,-103.377502",104.0,33192.48
house,|México|San Luis Potosí|San Luis Potosí|,"22.136711,-101.041163",270.0,163328.09
apartment,|México|Yucatán|Mérida|Santa Gertrudis Copo|,"21.039522,-89.563911",119.0,115814.11
house,|México|Estado de México|Ixtapan de la Sal|Ixtapan de la Sal|,"18.831146,-99.675944",125.0,73761.07
house,|México|Querétaro|Corregidora|,"20.558271,-100.42942",139.0,97469.99
house,|México|Yucatán|Mérida|,,325.0,167582.75
house,|México|Chiapas|Jiquipilas|Michoacán|,,260.0,143307.23
house,|México|Guanajuato|León|,"21.178095,-101.708252",360.0,178607.18
house,|México|Nuevo León|Monterrey|,,300.0,187037.01
apartment,|México|Distrito Federal|Iztacalco|,"19.403794,-99.155899",70.0,54235.15
house,|México|Yucatán|Mérida|,,346.0,191357.3
house,|México|Querétaro|Corregidora|,"20.543869,-100.414032",150.0,51105.88
apartment,|México|Distrito Federal|Coyoacán|Campestre Churubusco|,"19.343424,-99.135933",84.0,115910.26
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.532236,-96.94104",180.0,79029.72
house,|México|Morelos|Cuernavaca|,,196.0,94858.16
house,|México|Jalisco|Zapopan|,"20.755376,-103.39302",120.0,71143.62
apartment,|México|Yucatán|Mérida|,"21.008295,-89.591019",142.0,91169.23
apartment,|México|Distrito Federal|Benito Juárez|,"19.382649,-99.143384",65.0,44178.77
house,|México|Distrito Federal|Álvaro Obregón|,"23.634501,-102.552788",200.0,152790.8
house,|México|Tamaulipas|Tampico|,"22.268972,-97.860939",200.0,121207.64
house,|México|Guerrero|Acapulco de Juárez|,"16.856389,-99.913115",131.0,47417.83
house,|México|Yucatán|Mérida|,,163.0,73778.56
house,|México|Veracruz de Ignacio de la Llave|Veracruz|,"19.1279472004,-96.1076366901",200.0,104319.23
apartment,|México|Puebla|Puebla|,"19.076612,-98.236336",93.0,57884.47
house,|México|Veracruz de Ignacio de la Llave|Playa Vicente|Coahuila|,,221.0,97493.1
house,|México|Querétaro|San Juan del Río|,"20.391528,-99.981438",202.0,121207.64
house,|México|Quintana Roo|Benito Juárez|Cancún|,"21.1661723,-86.8251719",370.0,200256.11
house,|México|Baja California|Tijuana|,"32.46906,-116.81963",86.0,52605.29
apartment,|México|Yucatán|Mérida|Temozon Norte|,"21.0634817,-89.6110378",63.0,44794.13
house,|México|Puebla|San Andrés Cholula|,,286.0,194149.69
apartment,|México|Baja California|Tijuana|Tijuana|San Antonio del Mar|,"23.634501,-102.552788",95.0,84313.09
house,|México|Querétaro|Querétaro|Colonia San Francisco|,"20.745667,-100.455109",290.0,236091.42
apartment,|México|Tamaulipas|Tampico|,"22.292006,-97.866714",128.0,85878.96
house,|México|Puebla|Puebla|,"19.061148,-98.248372",120.0,59535.72
house,|México|Morelos|Cuernavaca|,"18.969536,-99.215979",180.0,81664.04
house,|México|Estado de México|San Mateo Atenco|San Mateo Atenco|,"19.300028,-99.566057",198.0,53666.55
house,|México|Yucatán|Mérida|,"20.999418,-89.619278",377.0,224339.55
apartment,|México|Distrito Federal|Benito Juárez|,"19.401507,-99.14682",92.0,67438.69
house,|México|Estado de México|Coacalco de Berriozábal|Coacalco de Berriozabal|,"19.663315,-99.103287",100.0,80083.45
apartment,|México|Yucatán|Mérida|,"21.030668,-89.599258",82.0,62696.91
house,|México|Guerrero|Acapulco de Juárez|,,120.0,118544.58
house,|México|Colima|Colima|,"19.255166,-103.680325",105.0,46627.53
house,|México|Morelos|Xochitepec|,"18.743973,-99.254183",79.0,42941.43
house,|México|Yucatán|Mérida|,"21.037875,-89.648252",123.0,41095.45
apartment,|México|Quintana Roo|Benito Juárez|Cancún|,"21.1495343889,-86.8515973089",79.0,80015.91
house,|México|Morelos|Cuernavaca|,"18.951663,-99.218298",376.0,263432.41
apartment,|México|Distrito Federal|Benito Juárez|,"19.381078,-99.186714",70.0,85668.22
house,|México|Sinaloa|Culiacán|,"24.8225157463,-107.4352383614",105.0,55847.67
house,|México|Puebla|San Andrés Cholula|Lomas de Angelópolis|,,200.0,143341.22
house,|México|Estado de México|Tlalnepantla de Baz|Tlalnepantla de Baz|,"19.522923,-99.241837",200.0,229240.55
house,|México|Querétaro|Querétaro|,"20.693433,-100.446219",160.0,121178.91
house,|México|Estado de México|Ecatepec de Morelos|Ecatepec de Morelos|Jardines de Santa Clara|,"19.545727,-99.039146",133.0,67438.69
house,|México|Chihuahua|Chihuahua|,"28.672886,-106.09304",250.0,63238.77
house,|México|Guanajuato|San Miguel de Allende|,"20.9144491,-100.745235",100.0,127584.22
house,|México|Puebla|Cuautlancingo|,"23.634501,-102.552788",113.0,57955.13
house,|México|Querétaro|Querétaro|,"20.618279,-100.346985",130.0,99601.06
house,|México|San Luis Potosí|San Luis Potosí|,"22.193523,-101.0019",211.0,165467.83
